Handle,SEO Description
all-custom-jewelry,"Bespoke, handcrafted jewelry made to tell your story. Explore Lorinczi's custom rings, necklaces, bracelets & earrings in sterling silver and gold."
all-jewelry-1,"Shop the complete Lorinczi collection of handcrafted jewelry — sculptural, nature-inspired rings, necklaces, bracelets & earrings in silver and gold."
all-sale1,"Handcrafted Lorinczi jewelry on sale. Shop one-of-a-kind rings, necklaces & bracelets in sterling silver and gold at special prices, while they last."
bracelets,"Handcrafted bracelets by Lorinczi — sculptural, nature-inspired cuffs & bangles in sterling silver and gold, including the signature scroll & vine design."
custom-bracelets,"Custom handcrafted bracelets designed around your story. Lorinczi makes bespoke cuffs & bangles in sterling silver and gold, one piece at a time."
custom-earrings,"Bespoke handcrafted earrings by Lorinczi. Design custom studs, drops & hoops in sterling silver and gold, sculpted to tell your story in metal."
custom-gallery,"A gallery of one-of-a-kind custom jewelry handcrafted by Lorinczi — bespoke rings, necklaces & bracelets created to tell each client's story."
custom-mens-jewelry,"Custom men's jewelry handcrafted by Lorinczi. Design bespoke rings, bracelets & necklaces in sterling silver and gold, built to last and made to mean something."
custom-mens-unisex-bracelets,"Custom men's & unisex bracelets by Lorinczi. Bespoke handcrafted cuffs & chains in sterling silver and gold, designed around your story."
custom-mens-unisex-necklaces,"Custom men's & unisex necklaces handcrafted by Lorinczi. Bespoke pendants & chains in sterling silver and gold, made to tell your story in metal."
custom-necklaces,"Bespoke handcrafted necklaces by Lorinczi. Design a custom pendant or chain in sterling silver and gold, sculpted around your story."
custom-rings,"Custom rings handcrafted by Lorinczi. Design a bespoke engagement, wedding or everyday ring in silver and gold, made to tell your story in metal."
earrings,"Handcrafted earrings by Lorinczi — sculptural, nature-inspired studs, drops & hoops in sterling silver and gold, each made to tell a story."
engagement-rings,"Handcrafted engagement rings by Lorinczi. Bespoke, one-of-a-kind designs in gold and diamond, custom made to symbolize your story."
frontpage,"Discover handcrafted, bespoke jewelry by Lorinczi — sculptural rings, necklaces & bracelets in sterling silver and gold, each made to tell your story."
mens-gender-neutral-rings,"Men's & gender-neutral rings handcrafted by Lorinczi. Bold, sculptural bands in sterling silver and gold, designed to be worn by anyone."
mens-jewelry,"Handcrafted men's jewelry by Lorinczi — sculptural rings, bracelets & necklaces in sterling silver and gold, built to last and made to mean something."
my-favorits,"A curated selection of Lorinczi's favorite handcrafted pieces — signature rings, necklaces & bracelets in sterling silver and gold."
necklaces,"Handcrafted necklaces by Lorinczi — sculptural pendants & chains in sterling silver and gold, including the signature scroll & vine design."
ready-to-ship,"Ready-to-ship handcrafted jewelry by Lorinczi. Shop one-of-a-kind rings, necklaces & bracelets in silver and gold, available now and ready to wear."
rings,"Handcrafted rings by Lorinczi — sculptural, nature-inspired designs in silver and gold, from the silver wave ring to custom wedding bands."
rose-thorn-collection,"Everyone keeps the rose. I kept the thorn. The Rose Thorn collection by Lorinczi — handcrafted sterling silver & gold jewelry with an edge."
wedding-rings,"Handcrafted wedding rings by Lorinczi. Custom women's & men's wedding bands in gold and diamond, designed to tell the story of your commitment."
